Time, Collision Type, Object Tag
0, Trigger, StartPoint
3.74, Trigger, Wall
5.88, Trigger, Wall
10.48, Trigger, Invisible
12.94, Trigger, Invisible
14.74, Trigger, Invisible
17.62, Trigger, Invisible
22.74, Trigger, Invisible
25.02, Trigger, Invisible
27.5, Trigger, Invisible
29.28, Trigger, Wall
31.78, Trigger, VisualGhost
34.4, Trigger, VisualGhost
37.22, Trigger, Invisible
38.86, Trigger, VisualGhost
40.66, Trigger, Invisible
42.72, Trigger, VisualGhost
45.66, Trigger, Goal
49.44, Trigger, StartPoint
57.94, Trigger, AudioGhost
59.76, Trigger, Mute
62.54, Trigger, FalseGoal
70.66, Trigger, StartPoint
75.75999, Trigger, Mute
77.74, Trigger, Wall
