Time, Collision Type, Object Tag
0, Trigger, StartPoint
4.54, Trigger, Invisible
6.42, Trigger, Invisible
7.38, Trigger, Wall
10.9, Trigger, Invisible
16.56, Trigger, Wall
17.34, Trigger, Wall
20.6, Trigger, Wall
23.36, Trigger, Invisible
25.62, Trigger, VisualGhost
27.04, Trigger, Goal
32.24, Trigger, StartPoint
38.34, Trigger, AudioGhost
42.9, Trigger, AudioGhost
45.26, Trigger, AudioGhost
60.68, Trigger, Mute
62.56, Trigger, Mute
64, Trigger, Wall
67.14, Trigger, Mute
70.34, Trigger, Mute
73.26, Trigger, Mute
76.14, Trigger, Mute
78.92, Trigger, Wall
81.32, Trigger, Mute
84.64, Trigger, Wall
88.3, Trigger, Mute
90.5, Trigger, AudioGhost
