Time, Collision Type, Object Tag
0, Trigger, StartPoint
5.92, Trigger, Wall
7.52, Trigger, Wall
9.98, Trigger, Wall
13.02, Trigger, Wall
13.02, Trigger, Wall
14.56, Trigger, Wall
17.1, Trigger, Wall
22.32, Trigger, Wall
23.76, Trigger, Wall
26.52, Trigger, Wall
27.88, Trigger, Wall
28.88, Trigger, Wall
30.24, Trigger, Wall
31.26, Trigger, Wall
37.9, Trigger, Wall
40.6, Trigger, Wall
42.52, Trigger, Wall
45, Trigger, Wall
46.88, Trigger, Wall
48.06, Trigger, Wall
50.54, Trigger, Wall
53.24, Trigger, Wall
56.86, Trigger, Wall
58.98, Trigger, Wall
60.42, Trigger, Wall
66.4, Trigger, Wall
66.4, Trigger, Wall
68, Trigger, Wall
69.82, Trigger, Wall
71.32, Trigger, Wall
