Time, Collision Type, Object Tag
0, Trigger, StartPoint
12.62, Trigger, Wall
14.06, Trigger, Goal
18.76, Trigger, StartPoint
26.1, Trigger, Wall
31.62, Trigger, Goal
38.52, Trigger, StartPoint
48.06, Trigger, Wall
52.88, Trigger, Wall
54.6, Trigger, Wall
56.86, Trigger, Wall
59.24, Trigger, Wall
63.08, Trigger, Wall
72.04, Trigger, Wall
79.18, Trigger, Wall
81.92, Trigger, Wall
84.54, Trigger, Wall
93.7, Trigger, Wall
97.52, Trigger, Goal
101.54, Trigger, StartPoint
105.56, Trigger, Wall
108.78, Trigger, Wall
110.34, Trigger, Wall
112.34, Trigger, Goal
115.3, Trigger, StartPoint
121.56, Trigger, Wall
124.5, Trigger, Wall
129.82, Trigger, Wall
132.2, Trigger, Goal
135.52, Trigger, StartPoint
139.54, Trigger, Wall
142.2, Trigger, Wall
142.54, Trigger, Wall
150.52, Trigger, Goal
156.72, Trigger, StartPoint
164.68, Trigger, Wall
170.54, Trigger, Wall
173.14, Trigger, Goal
177.78, Trigger, StartPoint
185.22, Trigger, Wall
187.42, Trigger, Wall
190.96, Trigger, Invisible
190.96, Trigger, Wall
191.84, Trigger, Invisible
195.32, Trigger, Invisible
196.76, Trigger, Invisible
198.98, Trigger, Invisible
201.24, Trigger, Invisible
205.16, Trigger, Invisible
209.14, Trigger, Invisible
210.72, Trigger, Wall
213.08, Trigger, VisualGhost
215.1, Trigger, VisualGhost
216.68, Trigger, Goal
224.58, Trigger, StartPoint
235.3, Trigger, Wall
236.62, Trigger, Wall
238.7, Trigger, AudioGhost
240.08, Trigger, AudioGhost
242.18, Trigger, Mute
243.76, Trigger, AudioGhost
243.86, Trigger, Wall
244.32, Trigger, Wall
244.82, Trigger, Wall
245.94, Trigger, Wall
248.24, Trigger, Mute
251.16, Trigger, Mute
256.8, Trigger, Mute
258.74, Trigger, AudioGhost
260.54, Trigger, Goal
265.62, Trigger, StartPoint
278.4, Trigger, Wall
279.12, Trigger, Wall
279.3, Trigger, Intangable
281.92, Trigger, HapticGhost
284.92, Trigger, Intangable
291.02, Trigger, Intangable
292.46, Trigger, Wall
295.18, Trigger, Intangable
300.12, Trigger, HapticGhost
301.4, Trigger, Goal
304.32, Trigger, StartPoint
313.7, Trigger, Invisible
316.22, Trigger, Invisible
319.86, Trigger, Invisible
321.52, Trigger, Invisible
322.5, Trigger, Invisible
325.68, Trigger, Invisible
328.68, Trigger, Invisible
336.78, Trigger, Invisible
339.16, Trigger, Invisible
342.5, Trigger, Invisible
345.18, Trigger, Invisible
347.44, Trigger, Invisible
351.7, Trigger, Invisible
353.5, Trigger, Invisible
355.5, Trigger, Invisible
357.14, Trigger, FalseGoal
365.9, Trigger, StartPoint
